Date,Rain,Temp Max,Temp Min,Year,Month,TempRange,Rain_3day,Rain_7day
1984-07-22,127.0348521,33.91999817,23.12000084,1984,7,10.79999733,381.1045563,889.2439647
1984-07-23,127.0348521,32.15999985,23.54000092,1984,7,8.619998929999998,381.1045563,889.2439647
1984-07-24,127.0348521,32.77999878,23.92000008,1984,7,8.859998699999998,381.1045563,889.2439647
1984-07-25,127.0348521,31.82999992,23.17000008,1984,7,8.659999839999998,381.1045563,889.2439647
1984-07-26,127.0348521,32.29999924,23.29999924,1984,7,9.0,381.1045563,889.2439647
1984-07-27,127.0348521,31.68000031,24.22999954,1984,7,7.450000769999999,381.1045563,889.2439647
1984-07-28,127.0348521,32.31000137,22.84000015,1984,7,9.47000122,381.1045563,889.2439647
1984-07-29,127.0348521,31.85000038,24.25,1984,7,7.600000380000001,381.1045563,889.2439647
1984-07-30,127.0348521,31.61000061,23.56999969,1984,7,8.04000092,381.1045563,889.2439647
1984-07-31,127.0348521,31.55999947,24.09000015,1984,7,7.469999319999999,381.1045563,889.2439647
1984-01-08,51.06869701,32.65000153,24.90999985,1984,1,7.740001679999999,305.13840121000135,813.277809610001
1984-02-08,219.6928824,32.09999847,24.45000076,1984,2,7.649997710000001,397.79643151000136,905.935839910001
1984-03-08,0.0,33.81000137,24.51000023,1984,3,9.300001140000003,270.76157941000133,778.900987810001
1984-04-08,0.0,34.47000122,25.15999985,1984,4,9.310001370000002,219.69288240000137,651.8661357100009
1984-05-08,0.0,35.22000122,25.60000038,1984,5,9.62000084,0.0,524.831283610001
1984-06-08,56.85971469,35.11999893,25.20000076,1984,6,9.91999817,56.85971469000136,454.656146200001
1984-07-08,127.0348521,35.45999908,26.30999947,1984,7,9.149999610000002,183.89456679000136,454.65614620000105
1984-08-08,40.49855703,35.61999893,25.59000015,1984,8,10.02999878,224.39312382000136,444.08600622000097
1984-09-08,266.7458738,35.25999832,26.18000031,1984,9,9.07999801,434.2792829300014,491.138997620001
1984-10-08,102.0109527,35.63000107,25.93000031,1984,10,9.700000759999998,409.25538353000144,593.149950320001
1984-11-08,826.0985957,36.22999954,25.61000061,1984,11,10.619998930000001,1194.8554222000014,1419.248546020001
1984-12-08,152.3777488,35.90000153,25.21999931,1984,12,10.680002219999999,1080.4872972000014,1571.626294820001
1984-08-13,40.49855703,36.43000031,25.79999924,1984,8,10.630001069999999,1018.9749015300014,1555.2651371600011
1984-08-14,40.49855703,36.02999878,26.62999916,1984,8,9.39999962,233.37486286000137,1468.728842090001
1984-08-15,40.49855703,36.36000061,26.37000084,1984,8,9.98999977,121.49567109,1468.728842090001
1984-08-16,40.49855703,35.79000092,26.52000046,1984,8,9.270000459999999,121.49567109,1242.481525320001
1984-08-17,40.49855703,36.34999847,25.97999954,1984,8,10.369998930000001,121.49567109,1180.9691296500012
1984-08-18,40.49855703,36.11999893,25.86000061,1984,8,10.259998320000001,121.49567109,395.36909098000103
1984-08-19,40.49855703,36.88000107,26.5,1984,8,10.380001069999999,121.49567109,283.48989921
1984-08-20,40.49855703,36.58000183,25.69000053,1984,8,10.890001300000002,121.49567109,283.48989921
1984-08-21,40.49855703,36.45999908,25.45999908,1984,8,11.000000000000004,121.49567109,283.48989921
1984-08-22,40.49855703,36.20999908,26.18000031,1984,8,10.029998770000002,121.49567109,283.48989921
1984-08-23,40.49855703,36.33000183,25.92000008,1984,8,10.41000175,121.49567109,283.48989921
1984-08-24,40.49855703,35.99000168,25.03000069,1984,8,10.960000989999998,121.49567109,283.48989921
1984-08-25,40.49855703,36.06999969,24.87999916,1984,8,11.190000530000002,121.49567109,283.48989921
1984-08-26,40.49855703,36.00999832,24.80999947,1984,8,11.19999885,121.49567109,283.48989921
1984-08-27,40.49855703,35.77000046,25.37999916,1984,8,10.390001299999998,121.49567109,283.48989921
1984-08-28,40.49855703,36.04000092,25.62000084,1984,8,10.420000079999998,121.49567109,283.48989921
1984-08-29,40.49855703,36.47999954,25.45000076,1984,8,11.02999878,121.49567109,283.48989921
1984-08-30,40.49855703,35.86999893,25.37000084,1984,8,10.499998090000002,121.49567109,283.48989921
1984-08-31,40.49855703,35.27999878,25.29999924,1984,8,9.979999540000001,121.49567109,283.48989921
1984-01-09,51.06869701,34.72000122,25.36000061,1984,1,9.36000061,132.06581107000136,294.060039190001
1984-02-09,219.6928824,35.72000122,25.81999969,1984,2,9.90000153,311.26013644000136,473.254364560001
1984-03-09,0.0,36.13999939,25.70000076,1984,3,10.439998629999998,270.76157941000133,432.755807530001
1984-04-09,0.0,36.20999908,25.65999985,1984,4,10.549999230000005,219.69288240000137,392.257250500001
1984-05-09,0.0,36.72000122,25.95000076,1984,5,10.770000459999999,0.0,351.75869347000105
1984-06-09,56.85971469,36.29000092,25.37000084,1984,6,10.920000079999998,56.85971469000136,368.119851130001
1984-07-09,127.0348521,36.22999954,25.20000076,1984,7,11.02999878,183.89456679000136,454.65614620000105
1984-08-09,40.49855703,36.58000183,24.39999962,1984,8,12.180002210000001,224.39312382000136,444.08600622000097
1984-09-09,266.7458738,36.08000183,25.5,1984,9,10.58000183,434.2792829300014,491.138997620001
1984-10-09,102.0109527,36.18000031,25.09000015,1984,10,11.090000159999995,409.25538353000144,593.149950320001
1984-11-09,826.0985957,32.70000076,24.45000076,1984,11,8.25,1194.8554222000014,1419.248546020001
1984-12-09,152.3777488,33.41999817,24.54000092,1984,12,8.879997249999999,1080.4872972000014,1571.626294820001
1984-09-13,266.7458738,34.11999893,24.60000038,1984,9,9.51999855,1245.2222183000015,1781.5124539300011
1984-09-14,266.7458738,34.68999863,24.44000053,1984,9,10.2499981,685.8694964000015,1921.223475630001
1984-09-15,266.7458738,34.43000031,24.53000069,1984,9,9.899999619999996,800.2376214000001,2147.4707924000013
1984-09-16,266.7458738,34.63999939,24.51000023,1984,9,10.12999916,800.2376214000001,2147.4707924000013
1984-09-17,266.7458738,35.41999817,24.63999939,1984,9,10.77999878,800.2376214000001,2312.2057135000014
1984-09-18,266.7458738,35.58000183,24.75,1984,9,10.83000183,800.2376214000001,1752.8529916000011
1984-09-19,266.7458738,34.59000015,23.20999908,1984,9,11.380001070000002,800.2376214000001,1867.2211166000002
1984-09-20,266.7458738,32.16999817,23.89999962,1984,9,8.26999855,800.2376214000001,1867.2211166000002
1984-09-21,266.7458738,33.24000168,24.62000084,1984,9,8.62000084,800.2376214000001,1867.2211166000002
1984-09-22,266.7458738,33.36999893,24.86000061,1984,9,8.509998320000001,800.2376214000001,1867.2211166000002
1984-09-23,266.7458738,33.77000046,24.59000015,1984,9,9.180000309999997,800.2376214000001,1867.2211166000002
1984-09-24,266.7458738,33.99000168,24.67000008,1984,9,9.320001599999998,800.2376214000001,1867.2211166000002
1984-09-25,266.7458738,33.72000122,24.95999908,1984,9,8.760002140000001,800.2376214000001,1867.2211166000002
1984-09-26,266.7458738,33.86000061,24.45000076,1984,9,9.409999849999998,800.2376214000001,1867.2211166000002
1984-09-27,266.7458738,34.70000076,25.02000046,1984,9,9.680000300000003,800.2376214000001,1867.2211166000002
1984-09-28,266.7458738,30.98999977,23.54999924,1984,9,7.4400005300000025,800.2376214000001,1867.2211166000002
1984-09-29,266.7458738,27.40999985,23.28000069,1984,9,4.129999159999997,800.2376214000001,1867.2211166000002
1984-09-30,266.7458738,26.21999931,22.40999985,1984,9,3.8099994600000002,800.2376214000001,1867.2211166000002
1984-01-10,51.06869701,28.77000046,23.80999947,1984,1,4.9600009899999975,584.5604446100014,1651.5439398100011
1984-02-10,219.6928824,31.07999992,23.59000015,1984,2,7.489999769999997,537.5074532100014,1604.490948410001
1984-03-10,0.0,31.25,23.52000046,1984,3,7.7299995400000014,270.76157941000133,1337.745074610001
1984-04-10,0.0,29.61000061,23.57999992,1984,4,6.030000690000001,219.69288240000137,1070.999200810001
1984-05-10,0.0,31.51000023,24.39999962,1984,5,7.11000061,0.0,804.253327010001
1984-06-10,56.85971469,31.76000023,23.84000015,1984,6,7.920000079999998,56.85971469000136,594.367167900001
1984-07-10,127.0348521,30.15999985,23.68000031,1984,7,6.479999539999998,183.89456679000136,454.656146200001
